,p_id
469,0764000969
470,0764001035
471,0764001043
472,0764001051
473,0764001124
474,0764001132
475,0764001876
476,0764002236
477,076400235X
478,0764002465
479,0764002473
480,0764002589
481,076400297X
482,0764003828
483,0764003844
484,0764004158
485,0764004247
486,0764004255
487,0764004301
488,0764004425
489,0764004468
490,0764004492
491,0764004557
492,0764004581
493,0764004603
494,0764004611
495,076400462X
496,0764004638
497,0764004662
498,0764004689
499,0764004719
500,0764005022
501,0764005316
502,0764005332
503,0764005367
504,0764005383
505,0764005405
506,0764005448
507,0764005529
508,0764005537
509,0764005553
510,076400557X
511,076400560X
512,0764005634
513,0764005685
514,0764005693
515,0764005707
516,0764005715
517,0764005804
518,076400591X
519,0764006355
520,076400638X
521,0764006401
522,0764006525
523,0764006584
524,0764006754
525,0764006770
526,0764006797
527,0764007211
528,0764007440
529,0764007572
530,076400767X
531,0764008307
532,0764008722
533,0764009257
534,0764009265
535,0764009303
536,0764009737
537,0764009745
538,0764009842
539,0764009877
540,0764009958
541,0764010581
542,0764010638
543,076401109X
544,0764193597
545,0764193627
546,0764205463
547,0764430130
548,0764430165
549,076443022X
550,0764430386
551,0766202771
552,0766203336
553,0766204936
554,0766207560
555,0766207579
556,0766233995
557,0767000005
558,0767000013
559,0767000021
560,076700003X
561,0767000099
562,0767000102
563,0767000153
564,076700034X
565,0767000358
566,0767000781
567,076700082X
568,0767000927
569,0767001133
570,0767001206
571,0767001435
572,0767002652
573,0767002806
574,0767003063
575,0767003357
576,0767004132
577,0767004744
578,0767004914
579,0767005236
580,0767005287
581,0767005449
582,076700552X
583,0767005554
584,0767005562
585,0767005651
586,0767005880
587,0767005953
588,0767007298
589,076700745X
590,0767007492
591,0767007697
592,0767007751
593,0767008596
594,0767008642
595,0767008650
596,076700941X
597,0767009495
598,0767009711
599,0767010019
600,0767010256
601,076701037X
602,0767010434
603,0767010485
604,0767010574
605,0767010736
606,0767010744
607,0767010957
608,0767011007
609,0767011015
610,0767011023
611,0767011058
612,0767011155
613,076701118X
614,076701135X
615,0767011554
616,076701166X
617,0767011759
618,076701183X
619,0767011929
620,0767012100
621,0767012119
622,0767012178
623,0767012348
624,0767012402
625,0767012437
626,076701250X
627,0767012739
628,0767012844
629,076701295X
630,0767013166
631,0767013271
632,0767013301
633,0767013395
634,0767013905
635,0767013972
636,0767013999
637,076701409X
638,0767014251
639,076701443X
640,0767014499
641,0767014596
642,0767014634
643,0767014731
644,0767014812
645,0767014960
646,0767014987
647,0767015045
648,0767015053
649,0767015223
650,0767015363
651,076701538X
652,076701541X
653,0767015576
654,0767015584
655,0767015681
656,0767015932
657,076701605X
658,076701622X
659,0767016351
660,0767016394
661,0767016408
662,0767016467
663,0767016548
664,0767016629
665,0767016793
666,0767016807
667,076701684X
668,0767016998
669,0767017021
670,0767017226
671,0767017374
672,0767017382
673,0767017498
674,0767017617
675,0767017633
676,0767017935
677,0767018001
678,076701801X
679,0767018257
680,0767018427
681,0767018435
682,0767018664
683,0767018680
684,0767018885
685,0767018893
686,0767018907
687,0767018923
688,0767018958
689,0767018982
690,0767018990
691,0767019512
692,0767019768
693,0767019830
694,0767019873
695,0767019946
696,0767019954
697,0767020308
698,0767020359
699,0767020367
700,0767020545
701,0767020553
702,0767020588
703,0767020731
704,0767021169
705,0767021185
706,0767021207
707,0767021266
708,0767022157
709,0767022572
710,076702320X
711,0767023226
712,0767023234
713,0767023250
714,0767023293
715,0767023439
716,0767023455
717,0767023617
718,0767023765
719,0767023897
720,0767023943
721,0767024028
722,0767024125
723,0767024176
724,0767024230
725,0767024354
726,0767024419
727,0767024451
728,0767024524
729,0767024656
730,0767024664
731,0767024680
732,0767024915
733,0767024958
734,0767025318
735,0767025385
736,0767025512
737,0767025652
738,0767025733
739,0767025784
740,0767026128
741,0767026179
742,076702625X
743,076702656X
744,0767026977
745,0767027590
746,0767028414
747,0767036123
748,0767036131
749,0767037758
750,0767040570
751,0767040775
752,0767041100
753,0767041461
754,0767043286
755,0767043367
756,076704360X
757,0767044045
758,0767044940
759,076704780X
760,0767055403
761,0767064771
762,0767600606
763,0767600983
764,0767603095
765,0767603419
766,0767726227
767,0767735935
768,0767739590
769,0767800117
770,0767800141
771,0767800311
772,0767800362
773,0767800400
774,0767800419
775,0767800427
776,0767800435
777,0767800443
778,0767800451
779,076780046X
780,0767800478
781,0767800540
782,0767800745
783,0767800761
784,076780094X
785,0767800958
786,0767801059
787,0767801482
788,0767801539
789,0767801555
790,0767801601
791,076780161X
792,0767801814
793,0767801857
794,0767801865
795,076780192X
796,0767801962
797,0767801970
798,0767802446
799,0767802454
800,0767802470
801,0767802489
802,0767802497
803,0767802519
804,0767802535
805,0767802551
806,0767802578
807,0767802586
808,0767802594
809,0767802616
810,0767802624
811,0767802659
812,0767802756
813,0767802780
814,0767802799
815,0767802802
816,0767802810
817,0767802829
818,0767803159
819,0767803310
820,0767803329
821,0767803337
822,076780337X
823,0767803434
824,0767804171
825,0767804236
826,0767804252
827,0767804287
828,0767804325
829,0767804503
830,0767804511
831,0767804929
832,0767805267
833,0767805313
834,0767805429
835,0767805496
836,0767805534
837,0767805690
838,0767805712
839,0767805739
840,0767806239
841,076780676X
842,0767806808
843,0767806816
844,0767806824
845,0767807588
846,0767807596
847,076780760X
848,0767807693
849,0767807707
850,0767808355
851,0767808460
852,0767808479
853,0767808614
854,0767808657
855,0767809211
856,076780922X
857,0767809246
858,0767809254
859,0767809262
860,0767809270
861,0767809335
862,0767809378
863,0767809548
864,0767809688
865,076780970X
866,0767809726
867,0767810627
868,076781083X
869,0767810848
870,0767810864
871,0767810872
872,0767810880
873,0767811054
874,0767811070
875,0767811089
876,0767811097
877,0767811100
878,0767811313
879,0767811356
880,0767811402
881,0767811410
882,0767811429
883,0767811437
884,0767811585
885,0767811704
886,0767812115
887,0767812123
888,0767812131
889,0767812158
890,0767812166
891,0767812174
892,0767812182
893,0767812387
894,0767812549
895,0767812646
896,0767812662
897,0767812743
898,0767812778
899,0767813189
900,0767813227
901,0767813308
902,0767813383
903,0767813545
904,0767813871
905,0767813901
906,0767814037
907,0767814193
908,0767814622
909,0767814703
910,0767814797
911,0767814827
912,0767814851
913,0767814894
914,0767814908
915,0767814916
916,0767814932
917,076781505X
918,0767815122
919,0767815149
920,0767815203
921,0767815211
922,0767815335
923,076781553X
924,0767815688
925,0767815963
926,0767815971
927,076781598X
928,0767816048
929,0767816161
930,076781617X
931,0767816617
932,0767816625
933,0767816633
934,0767816641
935,0767816749
936,0767816757
937,076781679X
938,0767816803
939,0767816927
940,0767817443
941,0767817648
942,0767817656
943,0767817664
944,0767817672
945,0767817680
946,0767817699
947,0767817710
948,0767817729
949,0767817737
950,0767817745
951,0767817753
952,0767817761
953,076781777X
954,0767817974
955,0767818016
956,0767818024
957,0767818032
958,0767818040
959,0767818059
960,0767818067
961,0767818075
962,0767818083
963,0767818172
964,0767818407
965,0767819179
966,0767819187
967,0767819373
968,0767819381
969,0767819403
970,0767819438
971,0767819446
972,0767819454
973,0767819462
974,0767819470
975,0767819519
976,0767819543
977,076781956X
978,0767819586
979,0767819594
980,0767819624
981,0767819764
982,0767820630
983,0767820940
984,0767821262
985,0767821327
986,0767821408
987,0767821432
988,0767821467
989,0767821483
990,0767821505
991,0767821513
992,0767821548
993,0767821599
994,0767821610
995,0767821637
996,076782170X
997,0767821742
998,0767821785
999,0767821807
1000,076782184X
1001,0767821920
1002,0767821955
1003,0767821998
1004,0767822617
1005,0767823354
1006,0767823745
1007,0767823788
1008,0767823796
1009,0767823931
1010,076782394X
1011,0767823990
1012,0767824008
1013,0767824016
1014,0767824032
1015,0767824199
1016,0767824407
1017,0767824423
1018,0767824555
1019,0767824571
1020,0767825373
1021,0767825411
1022,0767825454
1023,0767825462
1024,0767825489
1025,0767825519
1026,0767825624
1027,0767826701
1028,0767826728
1029,0767827007
1030,0767827015
1031,0767827635
1032,0767827651
1033,0767827678
1034,0767827686
1035,0767827694
1036,0767827724
1037,0767827740
1038,0767827775
1039,0767827791
1040,0767827813
1041,0767827902
1042,0767827929
1043,0767828054
1044,076782900X
1045,0767830415
1046,0767830520
1047,0767830539
1048,0767830547
1049,0767831020
1050,0767831055
1051,0767831063
1052,0767831071
1053,0767831322
1054,0767831373
1055,0767832248
1056,0767832299
1057,0767832426
1058,0767832485
1059,0767832523
1060,0767832531
1061,076783254X
1062,0767832566
1063,0767832574
1064,0767832590
1065,0767832655
1066,0767832779
1067,0767833104
1068,0767833139
1069,0767833163
1070,0767833600
1071,0767833694
1072,0767833902
1073,0767834720
1074,076783495X
1075,0767835026
1076,0767835069
1077,0767835077
1078,0767835093
1079,0767835263
1080,076783528X
1081,0767835883
1082,0767835948
1083,0767836006
1084,0767836286
1085,0767836316
1086,0767836324
1087,0767836499
1088,0767836804
1089,0767836847
1090,0767837371
1091,0767837398
1092,0767837452
1093,0767837479
1094,0767837495
1095,0767837991
1096,076783822X
1097,0767838440
1098,0767838785
1099,0767839129
1100,0767839145
1101,076783917X
1102,0767839277
1103,0767840003
1104,0767840135
1105,0767840895
1106,0767841263
1107,0767842359
1108,0767842375
1109,0767842693
1110,0767843258
1111,0767843789
1112,0767844319
1113,0767844386
1114,0767844580
1115,076784467X
1116,0767846273
1117,0767846362
1118,076784713X
1119,0767847202
1120,076784730X
1121,0767847334
1122,0767847431
1123,076784744X
1124,0767847539
1125,0767847563
1126,0767847571
1127,0767848489
1128,076784856X
1129,0767849493
1130,0767849833
1131,0767849973
1132,0767849981
1133,0767850165
1134,0767850246
1135,0767850262
1136,0767851013
1137,076785117X
1138,0767851463
1139,0767851668
1140,076785344X
1141,0767854454
1142,0767854764
1143,0767855000
1144,0767855337
1145,0767856449
1146,0767857178
1147,0767865936
1148,0767866142
1149,0767874692
1150,0767888472
1151,0768400309
1152,0768402182
1153,0768402433
1154,0768402468
1155,0768402476
1156,0768402484
1157,0768402492
1158,0768402506
1159,0768431336
1160,0769254071
1161,0769264999
1162,0769285929
1163,0769296599
1164,0769403468
1165,0769404200
1166,0769700225
1167,0769712231
1168,0769720021
1169,0769720056
1170,0769720064
1171,0769720080
1172,0769720099
1173,0769720110
1174,0769720145
1175,0769720153
1176,0769720218
1177,0769720226
1178,0769720250
1179,0769720269
1180,0769720277
1181,0769720293
1182,0769720307
1183,0769720315
1184,0769720323
1185,0769720331
1186,076972034X
1187,0769720366
1188,0769720374
1189,0769720382
1190,0769720404
1191,0769720439
1192,076972051X
1193,0769720552
1194,0769720595
1195,0769720927
1196,0769720943
1197,0769720951
1198,0769720986
1199,0769720994
1200,0769721001
1201,0769721036
1202,0769721125
1203,0769721168
1204,0769721192
1205,0769721222
1206,0769725074
1207,0769733476
1208,0769735169
1209,0769735312
1210,0769770002
1211,0769770010
1212,0769770029
1213,0769770134
1214,0769770193
1215,0769770274
1216,0769770444
1217,0769770517
1218,0769770533
1219,0769770576
1220,0773313516
1221,0773323201
1222,0773343016
1223,0773343024
1224,0773343032
1225,0773343105
1226,0773343113
1227,0773345000
1228,0773345019
1229,0773351035
1230,0773351280
1231,0773351523
1232,0773351558
1233,0773351582
1234,0773351612
1235,0773351620
1236,0773351655
1237,0773351698
1238,0773351701
1239,077335171X
1240,0773351795
1241,0773351876
1242,0773351892
1243,0773351906
1244,0773351914
1245,0773386424
1246,0773386432
1247,0773386548
1248,0773386637
1249,0773386645
1250,0773386653
1251,0773386661
1252,0773386718
1253,0773386726
1254,0773386769
1255,0773386777
1256,0773386866
1257,0773399372
1258,0773399410
1259,0773399585
1260,0778602230
1261,077861574X
1262,0780001249
1263,0780001311
1264,0780018664
1265,0780018702
1266,0780019121
1267,078001913X
1268,0780019148
1269,0780019164
1270,0780019172
1271,0780019229
1272,0780019237
1273,0780019334
1274,0780019342
1275,0780019350
1276,0780019482
1277,0780019490
1278,0780019504
1279,0780019814
1280,0780019822
1281,0780020073
1282,078002009X
1283,0780020197
1284,0780020219
1285,0780020227
1286,0780020405
1287,0780020413
1288,0780020421
1289,078002043X
1290,0780020464
1291,0780020480
1292,0780020502
1293,0780020510
1294,0780020537
1295,078002057X
1296,0780020618
1297,0780020626
1298,0780020634
1299,0780020693
1300,0780020707
1301,0780020715
1302,0780020723
1303,0780020731
1304,0780020804
1305,0780020812
1306,0780020820
1307,0780020847
1308,0780020863
1309,0780020901
1310,0780020928
1311,0780020960
1312,0780020979
1313,0780020987
1314,0780021045
1315,0780021061
1316,0780021088
1317,0780021096
1318,0780021118
1319,0780021134
1320,0780021185
1321,0780021223
1322,078002124X
1323,0780021312
1324,0780021320
1325,0780021355
1326,078002141X
1327,0780021428
1328,0780021444
1329,0780021533
1330,0780021592
1331,0780021606
1332,0780021630
1333,0780021649
1334,0780021657
1335,0780021665
1336,0780021673
1337,0780021789
1338,0780021797
1339,0780021800
1340,0780021886
1341,0780021932
1342,0780021940
1343,0780021967
1344,0780022025
1345,0780022076
1346,0780022084
1347,0780022092
1348,0780022130
1349,0780022149
1350,0780022157
1351,0780022165
1352,0780022181
1353,078002219X
1354,0780022238
1355,0780022300
1356,0780022319
1357,0780022343
1358,0780022386
1359,0780022459
1360,0780022467
1361,0780022491
1362,0780022513
1363,0780022599
1364,0780022629
1365,0780022688
1366,0780022777
1367,0780022815
1368,0780022882
1369,0780022920
1370,078002298X
1371,0780023005
1372,0780023013
1373,078002303X
1374,0780023048
1375,0780023080
1376,0780023110
1377,0780023129
1378,0780023145
1379,0780023153
1380,078002317X
1381,0780023196
1382,0780023218
1383,0780023226
1384,0780023307
1385,0780023331
1386,0780023382
1387,0780023390
1388,0780023412
1389,0780023420
1390,0780023447
1391,0780023455
1392,0780023463
1393,0780023498
1394,078002351X
1395,0780023536
1396,0780023617
1397,0780023633
1398,0780023641
1399,0780023676
1400,0780023684
1401,0780023692
1402,0780025881
1403,0780605799
1404,0780606736
1405,0780606957
1406,0780607104
1407,078060718X
1408,0780607287
1409,0780607465
1410,0780607929
1411,0780608372
1412,0780608992
1413,0780609166
1414,0780609360
1415,0780609506
1416,078060959X
1417,078061092X
1418,0780612906
1419,0780612981
1420,078061299X
1421,0780613252
1422,0780613260
1423,0780613678
1424,0780613856
1425,0780613880
1426,0780614097
1427,078061416X
1428,0780614569
1429,0780615220
1430,0780615573
1431,0780615603
1432,0780616456
1433,0780616561
1434,0780617231
1435,0780617533
1436,0780618068
1437,0780618106
1438,0780618211
1439,078061822X
1440,0780618416
1441,0780618548
1442,0780618556
1443,0780618564
1444,0780618653
1445,0780618750
1446,0780618831
1447,0780618882
1448,0780619072
1449,0780619161
1450,078061920X
1451,0780619226
1452,0780619250
1453,0780619331
1454,0780619412
1455,0780619439
1456,0780619455
1457,0780619471
1458,0780619544
1459,0780619552
1460,0780619609
1461,0780619668
1462,0780619676
1463,0780619714
1464,0780619811
1465,0780619994
1466,0780620003
1467,0780620089
1468,0780620100
1469,0780620135
1470,0780620178
1471,0780620321
1472,0780620364
1473,0780620372
1474,0780620437
1475,0780620453
1476,0780620496
1477,0780620801
1478,0780620844
1479,0780620860
1480,0780620879
1481,0780620917
1482,0780621182
1483,0780621255
1484,078062128X
1485,0780621395
1486,0780621409
1487,0780621468
1488,0780621484
1489,0780621549
1490,0780621573
1491,0780621611
1492,078062162X
1493,0780621638
1494,0780621654
1495,0780621689
1496,0780621700
1497,0780621727
1498,078062176X
1499,0780621832
1500,0780621905
1501,0780621948
1502,0780621956
1503,0780621964
1504,0780622030
1505,078062209X
1506,0780622189
1507,0780622197
1508,0780622200
1509,0780622219
1510,0780622227
1511,0780622278
1512,0780622375
1513,0780622383
1514,0780622510
1515,0780622545
1516,078062257X
1517,0780622596
1518,0780622642
1519,0780622685
1520,0780622774
1521,0780622944
1522,0780623088
1523,0780623096
1524,0780623126
1525,0780623134
1526,0780623215
1527,078062324X
1528,0780623266
1529,0780623274
1530,078062338X
1531,0780623398
1532,0780623592
1533,0780623614
1534,0780623622
1535,0780623673
1536,0780623681
1537,078062369X
1538,0780623703
1539,0780623711
1540,078062372X
1541,0780623746
1542,0780623789
1543,078062386X
1544,0780624130
1545,0780624149
1546,0780624157
1547,0780624173
1548,0780624378
1549,0780624386
1550,0780624750
1551,078062498X
1552,0780625005
1553,0780625064
1554,0780625099
1555,0780625102
1556,0780625129
1557,0780625137
1558,0780625218
1559,0780625277
1560,0780625323
1561,0780625390
1562,0780625447
1563,0780625536
1564,0780625544
1565,0780625552
1566,0780625587
1567,0780625609
1568,078062565X
1569,0780625765
1570,0780625773
1571,0780625781
1572,078062579X
1573,0780625803
1574,078062582X
1575,0780625862
1576,0780625900
1577,0780626028
1578,0780626109
1579,0780626362
1580,0780626389
1581,0780626478
1582,0780626486
1583,0780626494
1584,0780626508
1585,0780626516
1586,0780626532
1587,0780626613
1588,078062663X
1589,0780626699
1590,0780626702
1591,0780626966
1592,0780627202
1593,0780627717
1594,078062775X
1595,0780627776
1596,0780627784
1597,0780627792
1598,0780627806
1599,0780627822
1600,0780627830
1601,0780627849
1602,0780627857
1603,0780627873
1604,078062789X
1605,0780628306
1606,0780628519
1607,0780628535
1608,078062856X
1609,0780628799
1610,0780629159
1611,0780629248
1612,0780629450
1613,0780629752
1614,0780629760
1615,0780629876
1616,0780630068
1617,0780630106
1618,0780630149
1619,0780630157
1620,078063019X
1621,0780630459
1622,0780630548
1623,0780630858
1624,0780630866
1625,0780630874
1626,0780630882
1627,0780630890
1628,0780630904
1629,0780631153
1630,0780631226
1631,0780631277
1632,0780631315
1633,0780631323
1634,0780631331
1635,078063134X
1636,0780631528
1637,0780631684
1638,0780637593
1639,0780662911
1640,0780681991
1641,0780683048
1642,0780684362
1643,0781506816
1644,0781507162
1645,0781507537
1646,0781757126
1647,0781758599
1648,0782000460
1649,0782000568
1650,0782001572
1651,078200167X
1652,0782002064
1653,0782004512
1654,0782005926
1655,0782006094
1656,0782006108
1657,0782006752
1658,0782006760
1659,0782006779
1660,0782006787
1661,0782006795
1662,0782006809
1663,0782007015
1664,0782007058
1665,0782007414
1666,0782007465
1667,0782007473
1668,0782007481
1669,0782007783
1670,078200802X
1671,0782008062
1672,0782008097
1673,0782008119
1674,078200833X
1675,0782008348
1676,0782008356
1677,0782008372
1678,0782008380
1679,0782008399
1680,0782008445
1681,0782008453
1682,0782008461
1683,078200847X
1684,0782008488
1685,0782008496
1686,0782008585
1687,0782008712
1688,0782008739
1689,0782008763
1690,0782008798
1691,0782008941
1692,0782009123
1693,0782009174
1694,078200928X
1695,0782009379
1696,0782009387
1697,0782009395
1698,078200945X
1699,0782009530
1700,0782009549
1701,0782009565
1702,078200962X
1703,0782009638
1704,0782009832
1705,0782009840
1706,0782009859
1707,0782009980
1708,0782010040
1709,0782010059
1710,0782010288
1711,0782010342
1712,0782010350
1713,0782010369
1714,0782010407
1715,0782010458
1716,0782010474
1717,0782010539
1718,078201061X
1719,0782010652
1720,0782010660
1721,0782010679
1722,0782010792
1723,0782010814
1724,0782010830
1725,0782010857
1726,0782010873
1727,0782010903
1728,078201108X
1729,0782011101
1730,0782011179
1731,0782011195
1732,0782011276
1733,0782011284
1734,0783101295
1735,078310135X
1736,0783103107
1737,0783104146
1738,0783107749
1739,0783107854
1740,0783107951
1741,078310796X
1742,0783107986
1743,0783108001
1744,0783108133
1745,0783108443
1746,0783108974
1747,0783109644
1748,0783110308
1749,0783110413
1750,0783110774
1751,0783110839
1752,0783110901
1753,0783110928
1754,0783110960
1755,0783111029
1756,0783111037
1757,0783111088
1758,078311110X
1759,0783111118
1760,0783111126
1761,0783111142
1762,0783111169
1763,0783111231
1764,0783111436
1765,0783111509
1766,078311205X
1767,0783112068
1768,0783112130
1769,0783112149
1770,0783112181
1771,0783112351
1772,0783112548
1773,0783112564
1774,0783112572
1775,0783112610
1776,0783112637
1777,0783112645
1778,0783112653
1779,0783112750
1780,0783112769
1781,0783112777
1782,0783112793
1783,0783112807
1784,0783112815
1785,0783112831
1786,0783113080
1787,0783113145
1788,0783113161
1789,078311317X
1790,0783113188
1791,0783113196
1792,0783113315
1793,0783113552
1794,0783113714
1795,078311396X
1796,0783114125
1797,0783114176
1798,0783114222
1799,0783114338
1800,0783114389
1801,0783114419
1802,0783114532
1803,0783114583
1804,0783114664
1805,0783114729
1806,0783114877
1807,0783114885
1808,0783114893
1809,0783114907
1810,078311494X
1811,0783115008
1812,0783115091
1813,0783115202
1814,0783115288
1815,0783115296
1816,078311530X
1817,0783115377
1818,0783115539
1819,0783115792
1820,078311589X
1821,078311611X
1822,0783116144
1823,0783116438
1824,0783116608
1825,0783116624
1826,0783116640
1827,0783116748
1828,0783116764
1829,0783116780
1830,0783116799
1831,0783116896
1832,0783116918
1833,0783116926
1834,0783117388
1835,0783117493
1836,0783200544
1837,0783200870
1838,0783201672
1839,0783202253
1840,0783204914
1841,0783205856
1842,0783205945
1843,0783207425
1844,0783208227
1845,0783208286
1846,0783209967
1847,0783211201
1848,0783211694
1849,0783211856
1850,078321197X
1851,0783212771
1852,0783213115
1853,0783213638
1854,0783214235
1855,0783214251
1856,0783215088
1857,0783215096
1858,078321510X
1859,0783215126
1860,078321541X
1861,0783215517
1862,0783216084
1863,078321667X
1864,0783216890
1865,0783216998
1866,0783217048
1867,0783217331
1868,0783217358
1869,0783217390
1870,0783217463
1871,0783217471
1872,0783217498
